,minLC,maxLC,minNu,maxNu
mp-997182,1.2272950417280315,250.61364752086402,-0.0009813542688910703,0.4587748497684671
mp-773044,-1500.0,-1500.0,-1500.0,-1500.0
mp-7926,5.434782608695652,200.0,0.0,0.7321631358432683
mp-690526,4.8557975279576215,195.44028263588794,-0.011040272781314324,0.7491418001019147
mp-23533,26.315789473684152,26.315789473684237,-0.441176403784449,1.2352941158341648
mp-30160,-1500.0,-1500.0,-1500.0,-1500.0
mp-772598,18.587360594795538,1148.6988847583643,-5.495636243620858,-0.013278535112747528
mp-568346,0.98219021675612,43.252330735136795,0.0068560291939112165,0.9316299867638889
mp-614603,45.45454545454545,45.45454545454545,0.03773586339060712,0.6603773240351567
mp-29806,32.78688524590162,38.25136612021858,0.04724968567691676,0.7941176197128983
mp-9881,-31.292149986512015,244.94200161855952,-0.9038461538461539,1.2570093391504509
mp-9921,-44.13793394570387,139.72873677693335,-0.3047541990608041,1.2939139792756271
mp-558579,17.556693489392817,66.56912948061448,-0.3066664200972632,0.7364016550080885
